No;IPKM;X1;X2;X3;X4;X5;X6;X7
1;High;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
2;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
3;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
4;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
5;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
6;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
7;High;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
8;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
9;High;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
10;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
11;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
12;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
13;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
14;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
15;High;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
16;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
17;High;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
18;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
19;High;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
20;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
21;High;<0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
22;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
23;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
24;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
25;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
26;High;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
27;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
28;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
29;High;<0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
30;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
31;High;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
32;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
33;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
34;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
35;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
36;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
37;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
38;High;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
39;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
40;High;<0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
41;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
42;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
43;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
44;High;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
45;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
46;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
47;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
48;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
49;High;<0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
50;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
51;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
